course_id,style_code,course_title,banner_image_local,banner_image_qlearn,units,home_url,class_url,assessment_url,grammar_url,cultural_url,revision_url,extension_url,unit1_code,unit1_title,unit1_url,unit1_image_local,unit1_image_qlearn,unit1_desc,unit2_code,unit2_title,unit2_url,unit2_image_local,unit2_image_qlearn,unit2_desc,unit3_code,unit3_title,unit3_url,unit3_image_local,unit3_image_qlearn,unit3_desc,unit4_code,unit4_title,unit4_url,unit4_image_local,unit4_image_qlearn,unit4_desc
17028,07,Year 7 French,,,,https://qed05.instructure.com/courses/17028,https://qed05.instructure.com/courses/17028/modules/items/5529260,https://qed05.instructure.com/courses/17028/modules/items/5529265,https://qed05.instructure.com/courses/17028/modules/items/5530749,https://qed05.instructure.com/courses/17028/modules/items/5530754,https://qed05.instructure.com/courses/17028/modules/items/5530756,https://qed05.instructure.com/courses/17028/modules/items/5530757,7.1,Je me présente,https://qed05.instructure.com/courses/17028/modules/items/5529569,,,,7.2,Ma famille,https://qed05.instructure.com/courses/17028/modules/items/5529570,,,,,,,,,,,,,,,
16820,08,Year 8 French,,,,https://qed05.instructure.com/courses/16820,https://qed05.instructure.com/courses/16820/pages/class-page?module_item_id=5342087,https://qed05.instructure.com/courses/16820/pages/assessment-page?module_item_id=5443268,https://qed05.instructure.com/courses/16820/pages/reference-grammar?module_item_id=5443277,https://qed05.instructure.com/courses/16820/pages/cultural?module_item_id=5443445,https://qed05.instructure.com/courses/16820/pages/revision?module_item_id=5443443,https://qed05.instructure.com/courses/16820/pages/extension?module_item_id=5443444,8.1,Chez moi,https://qed05.instructure.com/courses/16820/pages/unit-1-chez-moi?module_item_id=5342190,,,,8.2,En ville,https://qed05.instructure.com/courses/16820/pages/unit-2-en-ville?module_item_id=5443269,,,,8.3,Le temps,https://qed05.instructure.com/courses/16820/pages/unit-3-le-temps?module_item_id=5443270,,,,8.4,Les loisirs,https://qed05.instructure.com/courses/16820/pages/unit-4-les-loisirs?module_item_id=5443271,,,
17183,09,Year 9 French,,,,https://qed05.instructure.com/courses/17183,https://qed05.instructure.com/courses/17183/modules/items/5530679,https://qed05.instructure.com/courses/17183/modules/items/5529251,https://qed05.instructure.com/courses/17183/modules/items/5531501,https://qed05.instructure.com/courses/17183/modules/items/5531502,https://qed05.instructure.com/courses/17183/modules/items/5531504,https://qed05.instructure.com/courses/17183/modules/items/5531503,9.1,La vie scolaire,https://qed05.instructure.com/courses/17183/modules/items/5529572,,,,9.2,Bon appétit,https://qed05.instructure.com/courses/17183/modules/items/5529582,,,,,,,,,,,,,,,
17022,092,Year 9 French Continuing,,,,https://qed05.instructure.com/courses/17022,https://qed05.instructure.com/courses/17022/modules/items/5529281,https://qed05.instructure.com/courses/17022/modules/items/5529279,https://qed05.instructure.com/courses/17022/modules/items/5531505,https://qed05.instructure.com/courses/17022/modules/items/5532494,https://qed05.instructure.com/courses/17022/modules/items/5532523,https://qed05.instructure.com/courses/17022/modules/items/5532517,9.2.1,On fait des achats,https://qed05.instructure.com/courses/17022/modules/items/5529609,,,,9.2.2,Qu'est-ce que tu as fait hier?,https://qed05.instructure.com/courses/17022/modules/items/5529612,,,,,,,,,,,,,,,
17050,10,Preparation French,,,,https://qed05.instructure.com/courses/17050,https://qed05.instructure.com/courses/17050/modules/items/5529367,https://qed05.instructure.com/courses/17050/modules/items/5529365,https://qed05.instructure.com/courses/17050/modules/items/5531506,https://qed05.instructure.com/courses/17050/modules/items/5532504,https://qed05.instructure.com/courses/17050/modules/items/5532522,https://qed05.instructure.com/courses/17050/modules/items/5532520,10.1,"Travel and leisure, Technology and Social Media",https://qed05.instructure.com/courses/17050/modules/items/5529630,,,,10.2,"Daily routines, Health and lifestyle",https://qed05.instructure.com/courses/17050/modules/items/5529632,,,,10.3,City Life Versus Country Life,https://qed05.instructure.com/courses/17050/modules/items/5529636,,,,10.4,The Environment,https://qed05.instructure.com/courses/17050/modules/items/5529640,,,
17205,11,Year 11 French,,,,https://qed05.instructure.com/courses/17205,https://qed05.instructure.com/courses/17205/modules/items/5529395,https://qed05.instructure.com/courses/17205/modules/items/5529392,https://qed05.instructure.com/courses/17205/modules/items/5531508,https://qed05.instructure.com/courses/17205/modules/items/5532366,https://qed05.instructure.com/courses/17205/modules/items/5532530,https://qed05.instructure.com/courses/17205/modules/items/5532521,11.1,Ma vie,https://qed05.instructure.com/courses/17205/modules/items/5529641,,,,11.2,L'exploration du monde,https://qed05.instructure.com/courses/17205/modules/items/5529642,,,,,,,,,,,,,,,
17013,12,Year 12 French,,,,https://qed05.instructure.com/courses/17013,https://qed05.instructure.com/courses/17013/modules/items/5529551,https://qed05.instructure.com/courses/17013/modules/items/5529548,https://qed05.instructure.com/courses/17013/modules/items/5531507,https://qed05.instructure.com/courses/17013/modules/items/5532447,https://qed05.instructure.com/courses/17013/modules/items/5532527,https://qed05.instructure.com/courses/17013/modules/items/5532519,12.1,Notre société; culture et identité,https://qed05.instructure.com/courses/17013/modules/items/5529650,,,,12.2,Mon présent; mon avenir,https://qed05.instructure.com/courses/17013/modules/items/5529651,,,,,,,,,,,,,,,
